ID,Kohorte,Klasse,Geschlecht,Augenfarbe,Groesse,Gewicht,Statistik
111,phy15,1,w,braun,171,64,3
112,phy15,1,m,gruen,180,70,3
113,phy15,1,w,braun,178,68,2
114,phy15,1,w,gruen,163,51,2
115,phy15,1,m,braun,175,75,2
116,phy15,1,w,blau,164,60,4
117,phy15,2,w,blau,176,75,4
118,phy15,1,m,blau,187,80,2
119,phy15,1,w,braun,168,62,3
120,phy15,2,m,braun,174,73,3
121,phy15,1,w,blau,170,58,2
122,phy15,2,w,blau,171,62,3
123,phy15,1,w,blau,173,57,2
124,phy15,1,w,braun,162,52,2
125,phy15,2,m,blau,181,57,4
126,phy15,2,w,blau,156,48,2
127,phy15,1,w,blau,174,72,3
128,phy15,2,m,gruen,171,53,3
129,phy15,1,m,blau,179,67,4
130,phy15,1,w,braun,165,62,3
131,phy15,1,w,braun,168,54,2
132,phy15,2,w,braun,165,53,3
133,phy15,2,w,braun,177,65,4
134,phy15,2,m,gruen,182,65,4
135,phy15,2,w,gruen,168,63,3
136,phy15,2,m,gruen,182,70,4
137,phy15,1,w,braun,160,60,2
138,phy15,2,w,braun,165,50,3
139,phy15,2,w,blau,163,59,2
140,phy15,2,w,gruen,170,60,3
141,phy16,2,m,blau,180,76,3
142,phy16,1,w,blau,168,56,2
143,phy16,1,w,braun,168,53,3
144,phy16,2,m,braun,169,64,3
145,phy16,2,w,braun,158,56,3
146,phy16,2,w,blau,163,54,3
147,phy16,1,w,blau,161,58,3
148,phy16,1,w,blau,165,54,3
149,phy16,2,w,blau,165,57,3
150,phy16,2,w,blau,168,58,3
151,phy16,2,w,braun,180,60,4
152,phy16,2,w,braun,162,55,3
153,phy16,1,w,gruen,162,71,3
154,phy16,1,w,gruen,162,71,3
155,phy16,1,w,gruen,162,71,3
156,phy16,2,m,blau,171,72,4
157,phy16,1,w,gruen,174,52,3
158,phy16,1,w,blau,168,60,5
159,phy16,2,w,gruen,160,70,4
160,phy16,1,w,braun,178,74,3
161,phy16,2,w,braun,160,57,3
162,phy16,2,w,braun,168,55,3
163,phy16,2,w,braun,162,50,3
164,phy16,1,w,blau,177,65,4
165,phy16,2,w,blau,180,63,3
166,phy16,1,w,braun,170,57,3
167,phy16,1,w,braun,172,67,3
168,phy16,1,w,blau,163,60,4
169,phy16,2,w,braun,168,52,2
170,phy16,1,w,braun,156,58,3
171,phy16,2,w,gruen,166,60,4
172,phy16,1,w,braun,168,70,3
173,phy16,1,m,braun,189,80,2
174,phy16,2,w,braun,171,63,3
175,phy16,1,w,braun,165,60,2
176,phy16,2,w,gruen,166,59,2
177,phy16,2,w,blau,160,52,4
178,phy16,2,w,braun,169,60,2
179,phy16,1,m,blau,170,62,4
180,phy16,1,m,blau,181,72,4
181,phy16,2,w,gruen,167,52,3
182,phy16,1,w,blau,171,56,3
183,phy16,1,w,blau,158,50,2
184,phy17,1,w,blau,156,58,5
185,phy17,1,w,braun,166,58,4
186,phy17,1,w,braun,164,55,4
187,phy17,1,w,braun,163,69,2
188,phy17,1,w,blau,175,85,1
189,phy17,1,w,gruen,163,55,3
190,phy17,1,w,blau,166,54,1
191,phy17,2,w,braun,162,50,2
192,phy17,1,w,blau,163,51,2
193,phy17,1,m,gruen,175,78,3
194,phy17,2,w,blau,160,50,3
195,phy17,2,m,blau,198,105,2
196,phy17,1,m,braun,180,67,3
197,phy17,2,m,blau,176,72,2
198,phy17,2,m,braun,180,83,2
199,phy17,2,w,gruen,168,68,2
200,phy17,1,m,braun,171,65,4
201,phy17,2,m,braun,190,76,3
202,phy17,1,m,blau,189,83,2
203,phy17,2,w,blau,163,57,2
204,phy17,1,w,blau,164,47,4
205,phy17,2,w,gruen,172,62,2
206,phy17,1,w,gruen,166,50,4
207,phy17,1,w,gruen,164,61,3
208,phy17,1,w,braun,162,47,3
209,phy17,1,w,braun,170,68,3
210,phy17,2,w,blau,183,64,3
211,phy17,2,w,braun,168,53,3
212,phy17,2,w,blau,170,69,2
213,phy17,1,w,braun,165,51,4
214,phy17,2,w,gruen,172,62,2
215,phy17,2,w,blau,160,53,3
216,phy17,2,w,gruen,164,58,4
217,phy17,2,w,gruen,163,55,3
218,phy17,2,w,braun,179,63,2
219,phy17,2,w,gruen,170,56,3
220,phy17,2,m,blau,174,71,5
221,phy17,2,w,gruen,158,52,3
222,phy17,2,w,gruen,164,61,4
223,phy17,1,w,blau,167,60,2
224,phy17,1,w,braun,175,63,2
225,phy17,2,w,braun,178,76,3
226,phy17,1,m,blau,181,91,3
227,phy17,1,w,blau,170,59,3
228,phy17,2,m,braun,185,85,4
